"Designators","Footprint","Comment","Quantity"
"U202","TPS7A20??PDBVR","TPS7A2036PDBVR","1"
"U205","DHVQFN16-2.5x3.5mm-0.5mm-expad-2x1mm","74HC595BQ","1"
"U301","TQFP100-14x14mm-0.5mm","PIC32CX1025SG41100-I/E5X","1"
"U402","SOT353","MCP6486UT-E-LT","1"
"U403","MSOP8-3x3mm-0.65mm","IS31AP4991A-SLS2-TR","1"
"U501","TPS7A20??PDBVR","TPS7A2028PDBVR","1"
"U502","PG-VLGA-8-1-2.0x2.5mm-0.65mm","DPS310XTSA1","1"
"U503","WSON8-2.5x2.5mm-0.5mm-expad-1.2x1.9mm-thermvias","HDC3022DEJR","1"
"U504","OPTICAL-LGA12-2.8x4.8mm-0.75mm","VL6180V1NR1-1","1"
"Q101, Q301, Q501, Q502, Q503, Q504, Q505, Q601","SOT323","NX6008NBKW","8"
"FB001, FB201, FB301","WLBD2012","WLBD2012HCU601TH","3"
"FB101, FB401","WLBD2012","WLBD2012HCU121TH","2"
"Q602, Q603","SOT363","BC847BS-7-F","2"
"LED001","nominal-0603-1608","B1931USD-20D000814U1930","1"
"SPK001","502443-0270","502443-0270","1"
"XTAL301","3225-1-3","RH100-24.000-12-1010-EXT-TR","1"
"XTAL303","3215","RT3215-32.768-12.5-TR-10PPM","1"
"CONN005, CONN006","OK-14GF024-04","OK-14GF024-04","2"
"CONN001","GSB1CA11101DSHR","GSB1CA11101DSHR","1"
"CONN002","MSD-11-A","MSD-11-A","1"
"CONN003","FTSH-105-?-?-DV-007-?-?","FTSH-105-01-L-DV-007-K","1"
"CONN004","FTSH-110-01-?-DV-007-?-?","FTSH-110-01-F-DV-007-K","1"
