"Designators","Value","Footprint","Package","Label","Manufacturer","Comment","Quantity","Description"
"U403","IS31AP4991A-SLS2","MSOP8-3x3mm-0.65mm","MSOP8",,"Lumissil Microsystems","IS31AP4991A-SLS2-TR","1","IS31AP4991A-SLS2-TR        IS31AP4991A-SLS2    MSOP8    Lumissil Microsystems"
"U501","TPS7A2028PDBVR","TPS7A20??PDBVR","SOT23",,"Texas Instruments","TPS7A2028PDBVR","1","TPS7A2028PDBVR        TPS7A2028PDBVR    SOT23    Texas Instruments"
"U502","DPS310XTSA1","PG-VLGA-8-1-2.0x2.5mm-0.65mm","PG-VLGA-8-1",,"Infineon","DPS310XTSA1","1","DPS310XTSA1        DPS310XTSA1    PG-VLGA-8-1    Infineon"
"U503","HDC3022","WSON8-2.5x2.5mm-0.5mm-expad-1.2x1.9mm-thermvias","WSON8",,"Texas Instruments","HDC3022DEJR","1","HDC3022DEJR        HDC3022    WSON8    Texas Instruments"
"U504","VL6180V1NR1","OPTICAL-LGA12-2.8x4.8mm-0.75mm","LGA12",,"ST Microelectronics","VL6180V1NR1-1","1","VL6180V1NR1-1        VL6180V1NR1    LGA12    ST Microelectronics"
"Q101, Q301, Q501, Q502, Q503, Q504, Q505, Q601","NX6008NBKW","SOT323","SOT323",,"Nexperia","NX6008NBKW","8","NX6008NBKW        NX6008NBKW    SOT323    Nexperia"
"FB001, FB201, FB301","WLBD2012HCU601TH","WLBD2012","WLBD2012","2A, 90mΩ @ DC, 600Ω±25% @ 100MHz","Walsin Technology","WLBD2012HCU601TH","3","WLBD2012HCU601TH    2A, 90mΩ @ DC, 600Ω±25% @ 100MHz    WLBD2012HCU601TH    WLBD2012    Walsin Technology"
"FB101, FB401","WLBD2012HCU121TH","WLBD2012","WLBD2012","5A, 20mΩ @ DC, 120Ω±25% @ 100MHz","Walsin Technology","WLBD2012HCU121TH","2","WLBD2012HCU121TH    5A, 20mΩ @ DC, 120Ω±25% @ 100MHz    WLBD2012HCU121TH    WLBD2012    Walsin Technology"
"Q602, Q603","BC847BS","SOT363","SOT363",,"Diodes Incorporated","BC847BS-7-F","2","BC847BS-7-F        BC847BS    SOT363    Diodes Incorporated"
"LED001","SD Card Busy","nominal-0603-1608","0603",,"Harvatek","B1931USD-20D000814U1930","1","B1931USD-20D000814U1930        SD Card Busy    0603    Harvatek"
"SPK001","Header (Molex 502443-0270)","502443-0270","502443-0270",,"Molex","502443-0270","1","502443-0270        Header (Molex 502443-0270)    502443-0270    Molex"
"XTAL301","24MHz","3225-1-3","3225","24MHz±10ppm @ 12pF (AT)","Raltron","RH100-24.000-12-1010-EXT-TR","1","RH100-24.000-12-1010-EXT-TR    24MHz±10ppm @ 12pF (AT)    24MHz    3225    Raltron"
"XTAL303","32.768kHz","3215","3215","32.768kHz±20ppm @ 12.5pF (Tuning Fork)","Raltron","RT3215-32.768-12.5-TR-10PPM","1","RT3215-32.768-12.5-TR-10PPM    32.768kHz±20ppm @ 12.5pF (Tuning Fork)    32.768kHz    3215    Raltron"
"CONN005, CONN006","EastRising ER-TFT1.32-1","OK-14GF024-04","OK-14GF024-04",,"EastRising","OK-14GF024-04","2","OK-14GF024-04        EastRising ER-TFT1.32-1    OK-14GF024-04    EastRising"
"CONN001","GSB1CA11101DSHR","GSB1CA11101DSHR","GSB1CA11101DSHR",,"Amphenol","GSB1CA11101DSHR","1","GSB1CA11101DSHR        GSB1CA11101DSHR    GSB1CA11101DSHR    Amphenol"
"CONN002","MSD-11-A","MSD-11-A","MSD-11-A",,"CUI Devices","MSD-11-A","1","MSD-11-A        MSD-11-A    MSD-11-A    CUI Devices"
"CONN003","Cortex-M Debug Header","FTSH-105-?-?-DV-007-?-?","FTSH-105-01-L-DV-007-K",,"Samtec","FTSH-105-01-L-DV-007-K","1","FTSH-105-01-L-DV-007-K        Cortex-M Debug Header    FTSH-105-01-L-DV-007-K    Samtec"
"CONN004","Cortex-M Debug Header with ETM","FTSH-110-01-?-DV-007-?-?","FTSH-110-01-F-DV-007-K",,"Samtec","FTSH-110-01-F-DV-007-K","1","FTSH-110-01-F-DV-007-K        Cortex-M Debug Header with ETM    FTSH-110-01-F-DV-007-K    Samtec"
